timestamp,open,high,low,close,volume,mcap
2015-01-02 00:00:00+05:30,11052.57,11052.57,11052.57,11052.57,0,0
2015-01-05 00:00:00+05:30,11030.18,11030.18,11030.18,11030.18,0,0
2015-01-06 00:00:00+05:30,10699.62,10699.62,10699.62,10699.62,0,0
2015-01-07 00:00:00+05:30,10666.38,10666.38,10666.38,10666.38,0,0
2015-01-08 00:00:00+05:30,10840.84,10840.84,10840.84,10840.84,0,0
2015-01-09 00:00:00+05:30,10906.56,10906.56,10906.56,10906.56,0,0
2015-01-12 00:00:00+05:30,10957.22,10957.22,10957.22,10957.22,0,0
2015-01-13 00:00:00+05:30,10926.16,10926.16,10926.16,10926.16,0,0
2015-01-14 00:00:00+05:30,10897.36,10897.36,10897.36,10897.36,0,0
2015-01-15 00:00:00+05:30,11182.52,11182.52,11182.52,11182.52,0,0
2015-01-16 00:00:00+05:30,11208.42,11208.42,11208.42,11208.42,0,0
2015-01-19 00:00:00+05:30,11257.01,11257.01,11257.01,11257.01,0,0
2015-01-20 00:00:00+05:30,11447.77,11447.77,11447.77,11447.77,0,0
2015-01-21 00:00:00+05:30,11492.4,11492.4,11492.4,11492.4,0,0
2015-01-22 00:00:00+05:30,11535.32,11535.32,11535.32,11535.32,0,0
2015-01-23 00:00:00+05:30,11633.06,11633.06,11633.06,11633.06,0,0
2015-01-27 00:00:00+05:30,11732.39,11732.39,11732.39,11732.39,0,0
2015-01-28 00:00:00+05:30,11737.42,11737.42,11737.42,11737.42,0,0
2015-01-29 00:00:00+05:30,11787.53,11787.53,11787.53,11787.53,0,0
2015-01-30 00:00:00+05:30,11598.64,11598.64,11598.64,11598.64,0,0
2015-02-02 00:00:00+05:30,11583.49,11583.49,11583.49,11583.49,0,0
2015-02-03 00:00:00+05:30,11529.72,11529.72,11529.72,11529.72,0,0
2015-02-04 00:00:00+05:30,11487.57,11487.57,11487.57,11487.57,0,0
2015-02-05 00:00:00+05:30,11471.77,11471.77,11471.77,11471.77,0,0
2015-02-06 00:00:00+05:30,11405.06,11405.06,11405.06,11405.06,0,0
